"listing_id","property_id","seller_id","agent_id","listing_date","expiry_date","list_price","status","notes"
53,54,44,4,"2025-12-18","2026-03-18","204678.00","Active","Budget unit"
54,55,2,11,"2025-12-11","2026-03-11","192982.00","Active","Good value"
55,56,31,8,"2025-12-18","2026-03-18","38596.00","Active","Fixer-upper"
56,57,9,3,"2025-12-13","2026-03-13","175439.00","Active","Central area"
57,58,27,12,"2025-12-14","2026-03-14","1350877.00","Active","Premium unit"
58,59,50,5,"2025-12-15","2026-03-15","174269.00","Active","Good ROI"
59,60,12,7,"2025-11-20","2026-02-18","62924.00","Active","Low price"
60,61,41,10,"2025-12-13","2026-03-13","69708.00","Active","Compact"
61,62,6,9,"2025-12-09","2026-03-09","172865.00","Active","New area"
62,63,28,2,"2025-12-08","2026-03-08","396491.00","Active","Modern unit"
63,64,14,11,"2025-12-08","2026-03-08","304094.00","Active","Quiet street"
64,65,3,6,"2025-12-06","2026-03-06","95906.00","Active","Affordable"
65,66,20,13,"2025-12-15","2026-03-15","54971.00","Active","Small unit"
66,67,45,4,"2025-11-27","2026-02-25","63158.00","Active","Investment"
67,68,8,8,"2025-12-15","2026-03-15","83041.00","Active","New build"
68,69,34,1,"2025-12-15","2026-03-15","147368.00","Active","Good demand"
69,70,16,5,"2025-12-16","2026-03-16","49123.00","Active","Entry market"
70,71,22,7,"2025-12-17","2026-03-17","65497.00","Active","Compact"
71,72,11,9,"2025-12-16","2026-03-16","257310.00","Active","Popular area"
72,73,29,12,"2025-12-10","2026-03-10","97895.00","Active","Low budget"
73,74,40,3,"2025-12-10","2026-03-10","53778.00","Active","Quick sale"
74,75,5,10,"2025-12-03","2026-03-03","64327.00","Active","Starter"
75,76,18,6,"2025-12-16","2026-03-16","76023.00","Active","Affordable"
76,77,24,2,"2025-12-14","2026-03-14","68538.00","Active","New listing"
77,78,32,11,"2025-12-10","2026-03-10","90058.00","Active","City unit"
78,79,13,8,"2025-11-28","2026-02-26","280702.00","Active","Well located"
